0,1,2,3,4,5
,,,,,
"Mar., 14 de Dic.",Barcelona,1 - 1Boca Juniors ganó 4-2 en penales,Boca Juniors,Final - Pen,Amistoso
"Sáb., 11 de Dic.",Boca Juniors,8 - 1,Central Córdoba (Santiago del Estero),Finalizado,Liga Profesional de Argentina
"Sáb., 4 de Dic.",Arsenal Sarandi,1 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mar., 30 de Nov.",Boca Juniors,0 - 0,Newell's Old Boys,Finalizado,Liga Profesional de Argentina
"Mié., 24 de Nov.",Independiente,1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Sáb., 20 de Nov.",Boca Juniors,2 - 0,Sarmiento (Junín),Finalizado,Liga Profesional de Argentina
"Lun., 8 de Nov.",Aldosivi,0 - 3,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Sáb., 30 de Oct.",Boca Juniors,0 - 1,Gimnasia La Plata,Finalizado,Liga Profesional de Argentina
"Dom., 24 de Oct.",Vélez Sarsfield,2 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mié., 20 de Oct.",Boca Juniors,2 - 1,Godoy Cruz Antonio Tomba,Finalizado,Liga Profesional de Argentina
"Sáb., 16 de Oct.",Huracán,0 - 3,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Sáb., 9 de Oct.",Boca Juniors,4 - 2,Lanús,Finalizado,Liga Profesional de Argentina
"Dom., 3 de Oct.",River Plate,2 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 26 de Sep.",Boca Juniors,1 - 0,Colón (Santa Fe),Finalizado,Liga Profesional de Argentina
"Sáb., 18 de Sep.",Atlético Tucumán,1 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mar., 14 de Sep.",Boca Juniors,0 - 0,Defensa y Justicia,Finalizado,Liga Profesional de Argentina
"Sáb., 4 de Sep.",Rosario Central,1 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 29 de Ago.",Boca Juniors,0 - 0,Racing Club,Finalizado,Liga Profesional de Argentina
"Mié., 25 de Ago.",Platense,1 - 3,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Sáb., 21 de Ago.",Boca Juniors,1 - 0,Patronato,Finalizado,Liga Profesional de Argentina
"Dom., 15 de Ago.",Estudiantes de La Plata,1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 8 de Ago.",Boca Juniors,1 - 1,Argentinos Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 1 de Ago.",Talleres (Córdoba),0 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mar., 27 de Jul.",Boca Juniors,0 - 2,San Lorenzo,Finalizado,Liga Profesional de Argentina
"Sáb., 24 de Jul.",Banfield,0 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mar., 20 de Jul.",Atlético-MG,0 - 0Vuelta · Atlético-MG ganó 3-1 en penales,Boca Juniors,Final - Pen,CONMEBOL Libertadores
"Vie., 16 de Jul.",Unión (Santa Fe),1 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mar., 13 de Jul.",Boca Juniors,0 - 0Ida,Atlético-MG,Finalizado,CONMEBOL Libertadores
"Lun., 31 de May.",Racing Club,0 - 0Racing Club ganó 4-2 en penales,Boca Juniors,Final - Pen,Argentine Copa de la Liga Profesional
"Mié., 26 de May.",Boca Juniors,3 - 0,The Strongest,Finalizado,CONMEBOL Libertadores
"Jue., 20 de May.",Boca Juniors,0 - 0,Barcelona SC,Finalizado,CONMEBOL Libertadores
"Dom., 16 de May.",Boca Juniors,1 - 1Boca Juniors ganó 4-2 en penales,River Plate,Final - Pen,Argentine Copa de la Liga Profesional
"Mar., 11 de May.",Santos,1 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Sáb., 8 de May.",Patronato,1 - 0,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Mar., 4 de May.",Barcelona SC,1 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Dom., 2 de May.",Boca Juniors,1 - 0,Lanús,Finalizado,Argentine Copa de la Liga Profesional
"Mar., 27 de Abr.",Boca Juniors,2 - 0,Santos,Finalizado,CONMEBOL Libertadores
"Sáb., 24 de Abr.",Huracán,0 - 2,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Mié., 21 de Abr.",The Strongest,0 - 1,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Sáb., 17 de Abr.",Boca Juniors,3 - 1,Atlético Tucumán,Finalizado,Argentine Copa de la Liga Profesional
"Dom., 11 de Abr.",Unión (Santa Fe),1 - 0,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Sáb., 3 de Abr.",Boca Juniors,2 - 1,Defensa y Justicia,Finalizado,Argentine Copa de la Liga Profesional
"Dom., 28 de Mar.",Independiente,1 - 1,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Dom., 21 de Mar.",Boca Juniors,1 - 2,Talleres (Córdoba),Finalizado,Argentine Copa de la Liga Profesional
"Dom., 14 de Mar.",Boca Juniors,1 - 1,River Plate,Finalizado,Argentine Copa de la Liga Profesional
