Local,Resultado,Visitante,Status,Competition,Notas,Fecha
Godoy Cruz Antonio Tomba,1 - 2,Boca Juniors,Finalizado,Copa de Liga Profesional,,2023-11-26
Boca Juniors,2 - 3,Estudiantes de La Plata,Finalizado,Copa Argentina,,2023-11-22
Boca Juniors,1 - 0,Newell's Old Boys,Finalizado,Copa de Liga Profesional,,2023-11-12
San Lorenzo,1 - 1,Boca Juniors,Finalizado,Copa de Liga Profesional,,2023-11-08
Boca Juniors,1 - 2,Fluminense,AET,CONMEBOL Libertadores,,2023-11-04
Boca Juniors,0 - 0,Estudiantes de La Plata,Finalizado,Copa de Liga Profesional,,2023-10-28
Racing Club,2 - 1,Boca Juniors,Finalizado,Copa de Liga Profesional,,2023-10-24
Boca Juniors,2 - 1,Unión (Santa Fe),Finalizado,Copa de Liga Profesional,,2023-10-20
Talleres (Córdoba),1 - 1,Boca Juniors,Final - Pen,Copa Argentina,Boca Juniors ganó 4-1 en penales,2023-10-15
Belgrano (Córdoba),4 - 3,Boca Juniors,Finalizado,Copa de Liga Profesional,,2023-10-10
Palmeiras,1 - 1,Boca Juniors,Final - Pen,CONMEBOL Libertadores,Vuelta · Empate 1-1 en marcador global · Boca Juniors ganó 4-2 en penales,2023-10-05
Boca Juniors,0 - 2,River Plate,Finalizado,Copa de Liga Profesional,,2023-10-01
Boca Juniors,0 - 0,Palmeiras,Finalizado,CONMEBOL Libertadores,Ida,2023-09-28
Boca Juniors,1 - 1,Lanús,Finalizado,Copa de Liga Profesional,,2023-09-23
Central Córdoba (Santiago del Estero),0 - 3,Boca Juniors,Finalizado,Copa de Liga Profesional,,2023-09-19
Defensa y Justicia,1 - 0,Boca Juniors,Finalizado,Copa de Liga Profesional,,2023-09-15
Almagro,2 - 2,Boca Juniors,Final - Pen,Copa Argentina,Boca Juniors ganó 4-3 en penales,2023-09-10
Boca Juniors,0 - 1,Tigre,Finalizado,Copa de Liga Profesional,,2023-09-03
Racing Club,0 - 0,Boca Juniors,Final - Pen,CONMEBOL Libertadores,Vuelta · Boca Juniors ganó 4-1 en penales,2023-08-30
Sarmiento (Junín),1 - 0,Boca Juniors,Finalizado,Copa de Liga Profesional,,2023-08-27
Boca Juniors,0 - 0,Racing Club,Finalizado,CONMEBOL Libertadores,Ida,2023-08-23
Boca Juniors,3 - 1,Platense,Finalizado,Copa de Liga Profesional,,2023-08-18
Boca Juniors,2 - 2,Nacional,Final - Pen,CONMEBOL Libertadores,Vuelta · Empate 2-2 en marcador global · Boca Juniors ganó 4-2 en penales,2023-08-09
Nacional,0 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores,Ida,2023-08-02
Independiente,0 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-07-29
Boca Juniors,2 - 1,Newell's Old Boys,Finalizado,Liga Profesional de Argentina,,2023-07-24
Barracas Central,1 - 2,Boca Juniors,Finalizado,Copa Argentina,,2023-07-20
Gimnasia La Plata,1 - 3,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-07-16
Boca Juniors,1 - 0,Huracán,Finalizado,Liga Profesional de Argentina,,2023-07-10
Unión (Santa Fe),0 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-07-06
Boca Juniors,2 - 0,Sarmiento (Junín),Finalizado,Liga Profesional de Argentina,,2023-07-02
Boca Juniors,4 - 0,Monagas SC,Finalizado,CONMEBOL Libertadores,,2023-06-29
Godoy Cruz Antonio Tomba,4 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-06-22
Boca Juniors,1 - 1,Lanús,Finalizado,Liga Profesional de Argentina,,2023-06-10
Boca Juniors,1 - 0,Colo Colo,Finalizado,CONMEBOL Libertadores,,2023-06-06
Arsenal Sarandi,1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-06-01
Boca Juniors,1 - 0,Tigre,Finalizado,Liga Profesional de Argentina,,2023-05-28
Deportivo Pereira,1 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores,,2023-05-24
Argentinos Juniors,0 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-05-19
Boca Juniors,2 - 0,Belgrano (Córdoba),Finalizado,Liga Profesional de Argentina,,2023-05-14
River Plate,1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-05-07
Colo Colo,0 - 2,Boca Juniors,Finalizado,CONMEBOL Libertadores,,2023-05-03
Boca Juniors,3 - 1,Racing Club,Finalizado,Liga Profesional de Argentina,,2023-04-29
Rosario Central,2 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-04-23
Boca Juniors,2 - 1,Deportivo Pereira,Finalizado,CONMEBOL Libertadores,,2023-04-18
Boca Juniors,0 - 1,Estudiantes de La Plata,Finalizado,Liga Profesional de Argentina,,2023-04-15
San Lorenzo,1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-04-12
Boca Juniors,1 - 2,Colón (Santa Fe),Finalizado,Liga Profesional de Argentina,,2023-04-09
Monagas SC,0 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores,,2023-04-06
Barracas Central,0 - 3,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-04-01
Boca Juniors,2 - 1,Olimpo,Finalizado,Copa Argentina,,2023-03-25
Boca Juniors,2 - 3,Instituto (Córdoba),Finalizado,Liga Profesional de Argentina,,2023-03-19
Banfield,1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-03-12
Boca Juniors,0 - 0,Defensa y Justicia,Finalizado,Liga Profesional de Argentina,,2023-03-06
Vélez Sarsfield,1 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-02-25
Boca Juniors,3 - 1,Platense,Finalizado,Liga Profesional de Argentina,,2023-02-19
Talleres (Córdoba),2 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina,,2023-02-11
Boca Juniors,0 - 0,Central Córdoba (Santiago del Estero),Finalizado,Liga Profesional de Argentina,,2023-02-05
Boca Juniors,1 - 0,Atlético Tucumán,Finalizado,Liga Profesional de Argentina,,2023-01-29
Boca Juniors,0 - 0,Everton CD,Finalizado,Amistoso,,2023-01-13
Boca Juniors,0 - 0,Independiente,Finalizado,Amistoso,,2023-01-07
