Año,Local_ID,Local,Resultado_L,Resultado_V,Visitante_ID,Visitante,Fecha/Grupo,Evento
2019,17,Boca Juniors,2,0,0,Aldosivi, Fecha 3,Superliga 2019/20
2018,0,Aldosivi,1,1,17,Boca Juniors,Fecha 25,Superliga 2018/19 
2016,0,Aldosivi,0,4,17,Boca Juniors,Fecha 28,Campeonato 2016/17 
2016,17,Boca Juniors,4,1,0,Aldosivi,Fecha 11,Torneo 2016 
2015,17,Boca Juniors,0,3,0,Aldosivi,Fecha 13,Campeonato 2015 
1975,17,Boca Juniors,1,2,0,Aldosivi, Grupo B,Nacional 1975
1975,0,Aldosivi,1,4,17,Boca Juniors, Grupo B,Nacional 1975
2014,1,All Boys,1,3,17,Boca Juniors,Fecha 17,Torneo Final 2014 
2013,17,Boca Juniors,0,2,1,All Boys,Fecha 17,Torneo Inicial 2013 
2013,1,All Boys,2,0,17,Boca Juniors, Fecha 3,Torneo Final 2013
2012,17,Boca Juniors,3,1,1,All Boys, Fecha 3,Torneo Inicial 2012
2012,1,All Boys,3,1,17,Boca Juniors,Fecha 19,Torneo Clausura 2012 
2011,17,Boca Juniors,1,0,1,All Boys,Fecha 19,Torneo Apertura 2011 
2011,17,Boca Juniors,0,0,1,All Boys, Fecha 3,Torneo Clausura 2011
2010,1,All Boys,2,0,17,Boca Juniors, Fecha 3,Torneo Apertura 2010
1980,1,All Boys,0,1,17,Boca Juniors,Fecha 38,Metropolitano 1980 
1980,17,Boca Juniors,1,1,1,All Boys,Fecha 19,Metropolitano 1980 
1979,1,All Boys,1,0,17,Boca Juniors, Grupo B,Metropolitano 1979
1979,17,Boca Juniors,2,0,1,All Boys, Grupo B,Metropolitano 1979
1978,1,All Boys,0,0,17,Boca Juniors,Fecha 34,Metropolitano 1978 
1978,17,Boca Juniors,3,0,1,All Boys,Fecha 13,Metropolitano 1978 
1977,1,All Boys,1,0,17,Boca Juniors,Fecha 31,Metropolitano 1977 
1977,17,Boca Juniors,5,1,1,All Boys, Fecha 8,Metropolitano 1977
1976,1,All Boys,1,2,17,Boca Juniors, Grupo A,Metropolitano 1976
1976,17,Boca Juniors,2,0,1,All Boys, Grupo A,Metropolitano 1976
1975,17,Boca Juniors,7,0,1,All Boys,Fecha 37,Metropolitano 1975 
1975,1,All Boys,1,2,17,Boca Juniors,Fecha 18,Metropolitano 1975 
1974,17,Boca Juniors,2,1,1,All Boys, Grupo A,Nacional 1974
1974,1,All Boys,1,1,17,Boca Juniors, Grupo A,Nacional 1974
1973,1,All Boys,1,7,17,Boca Juniors,Fecha 19,Metropolitano 1973 
1973,17,Boca Juniors,3,1,1,All Boys, Fecha 2,Metropolitano 1973
2005,2,Almagro,3,2,17,Boca Juniors,Fecha 19,Torneo Clausura 2005 
2004,17,Boca Juniors,1,1,2,Almagro,Fecha 19,Torneo Apertura 2004 
2001,2,Almagro,1,0,17,Boca Juniors, Fecha 7,Torneo Clausura 2001
2000,17,Boca Juniors,2,0,2,Almagro, Fecha 7,Torneo Apertura 2000
1938,17,Boca Juniors,3,4,2,Almagro,Fecha 33,Campeonato 1938 
1938,2,Almagro,1,4,17,Boca Juniors,Fecha 16,Campeonato 1938 
1985,17,Boca Juniors,3,1,3,Altos Hornos Zapla,Playoffs,Torneo Nacional 1985  
1985,17,Boca Juniors,2,1,3,Altos Hornos Zapla, Grupo B,Torneo Nacional 1985 
1985,3,Altos Hornos Zapla,1,0,17,Boca Juniors, Grupo B,Torneo Nacional 1985 
1983,3,Altos Hornos Zapla,2,0,17,Boca Juniors,Nacional,Torneo Nacional 1983 - Torne
1983,17,Boca Juniors,4,0,3,Altos Hornos Zapla,Nacional,Torneo Nacional 1983 - Torne
2019,17,Boca Juniors,1,1,7,Argentinos,Fecha 15,Superliga 2019/20 
2018,7,Argentinos,0,1,17,Boca Juniors, Fecha 5,Superliga 2018/19
2017,7,Argentinos,2,0,17,Boca Juniors,Fecha 18,Superliga 2017/18 
2016,7,Argentinos,1,0,17,Boca Juniors,Fecha 13,Torneo 2016 
2015,7,Argentinos,1,3,17,Boca Juniors,Fecha 25,Campeonato 2015 
2014,17,Boca Juniors,1,1,7,Argentinos, Fecha 8,Torneo Final 2014
2013,7,Argentinos,0,0,17,Boca Juniors, Fecha 8,Torneo Inicial 2013
2013,17,Boca Juniors,1,1,7,Argentinos, Fecha 6,Torneo Final 2013
2012,7,Argentinos,1,1,17,Boca Juniors, Fecha 6,Torneo Inicial 2012
2012,17,Boca Juniors,2,1,7,Argentinos, Fecha 9,Torneo Clausura 2012
2011,7,Argentinos,0,0,17,Boca Juniors, Fecha 9,Torneo Apertura 2011
2011,7,Argentinos,0,2,17,Boca Juniors,Fecha 13,Torneo Clausura 2011 
2010,17,Boca Juniors,0,2,7,Argentinos,Fecha 13,Torneo Apertura 2010 
2010,7,Argentinos,2,2,17,Boca Juniors, Fecha 1,Torneo Clausura 2010
2009,17,Boca Juniors,2,2,7,Argentinos, Fecha 1,Torneo Apertura 2009
2009,17,Boca Juniors,3,0,7,Argentinos, Fecha 6,Torneo Clausura 2009
2008,7,Argentinos,0,0,17,Boca Juniors, Fecha 6,Torneo Apertura 2008
2008,17,Boca Juniors,4,0,7,Argentinos, Fecha 2,Torneo Clausura 2008
2007,7,Argentinos,3,2,17,Boca Juniors, Fecha 2,Torneo Apertura 2007
2007,7,Argentinos,3,3,17,Boca Juniors,Fecha 13,Torneo Clausura 2007 
2006,17,Boca Juniors,2,1,7,Argentinos,Fecha 13,Torneo Apertura 2006 
2006,7,Argentinos,1,2,17,Boca Juniors, Fecha 6,Torneo Clausura 2006
2005,17,Boca Juniors,1,0,7,Argentinos, Fecha 6,Torneo Apertura 2005
2005,17,Boca Juniors,1,2,7,Argentinos,Fecha 12,Torneo Clausura 2005 
2004,7,Argentinos,1,0,17,Boca Juniors,Fecha 12,Torneo Apertura 2004 
2002,17,Boca Juniors,3,2,7,Argentinos, Fecha 8,Torneo Clausura 2002
2001,7,Argentinos,1,3,17,Boca Juniors, Fecha 8,Torneo Apertura 2001
