0,1,2,3,4,5
,,,,,
"Mié., 1 de Mar.",Boca Juniors,3 - 0,Patronato,Finalizado,Supercopa Argentina
,,,,,
"Vie., 20 de Ene.",Boca Juniors,1 - 2,Racing Club,Finalizado,Supercopa Argentina
,,,,,
"Dom., 6 de Nov.",Boca Juniors,1 - 2,Racing Club,AET,Argentine Trofeo de Campeones
,,,,,
"Mié., 26 de Oct.",Patronato,1 - 1Patronato ganó 3-2 en penales,Boca Juniors,Final - Pen,Copa Argentina
"Dom., 23 de Oct.",Boca Juniors,2 - 2,Independiente,Finalizado,Liga Profesional de Argentina
"Jue., 20 de Oct.",Gimnasia La Plata,1 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 16 de Oct.",Newell's Old Boys,2 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mié., 12 de Oct.",Sarmiento (Junín),0 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 9 de Oct.",Boca Juniors,2 - 1,Aldosivi,Finalizado,Liga Profesional de Argentina
"Dom., 2 de Oct.",Boca Juniors,1 - 0,Vélez Sarsfield,Finalizado,Liga Profesional de Argentina
,,,,,
"Mié., 28 de Sep.",Boca Juniors,3 - 2,Quilmes,Finalizado,Copa Argentina
"Vie., 23 de Sep.",Godoy Cruz Antonio Tomba,0 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Lun., 19 de Sep.",Boca Juniors,0 - 0,Huracán,Finalizado,Liga Profesional de Argentina
"Mié., 14 de Sep.",Lanús,0 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 11 de Sep.",Boca Juniors,1 - 0,River Plate,Finalizado,Liga Profesional de Argentina
"Dom., 4 de Sep.",Colón (Santa Fe),1 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
,,,,,
"Dom., 28 de Ago.",Boca Juniors,2 - 1,Atlético Tucumán,Finalizado,Liga Profesional de Argentina
"Dom., 21 de Ago.",Defensa y Justicia,0 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mié., 17 de Ago.",Boca Juniors,0 - 0,Rosario Central,Finalizado,Liga Profesional de Argentina
"Dom., 14 de Ago.",Racing Club,0 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mié., 10 de Ago.",Agropecuario,0 - 1,Boca Juniors,Finalizado,Copa Argentina
"Sáb., 6 de Ago.",Boca Juniors,2 - 1,Platense,Finalizado,Liga Profesional de Argentina
,,,,,
"Dom., 31 de Jul.",Patronato,3 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 24 de Jul.",Boca Juniors,3 - 1,Estudiantes de La Plata,Finalizado,Liga Profesional de Argentina
"Mar., 19 de Jul.",Argentinos Juniors,2 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Sáb., 16 de Jul.",Boca Juniors,1 - 0,Talleres (Córdoba),Finalizado,Liga Profesional de Argentina
"Sáb., 9 de Jul.",San Lorenzo,2 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mar., 5 de Jul.",Boca Juniors,0 - 0Vuelta · Corinthians ganó 6-5 en penales,Corinthians,Final - Pen,CONMEBOL Libertadores
"Vie., 1 de Jul.",Boca Juniors,0 - 3,Banfield,Finalizado,Liga Profesional de Argentina
,,,,,
"Mar., 28 de Jun.",Corinthians,0 - 0Ida,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Vie., 24 de Jun.",Boca Juniors,1 - 2,Unión (Santa Fe),Finalizado,Liga Profesional de Argentina
"Dom., 19 de Jun.",Barracas Central,1 - 3,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mié., 15 de Jun.",Boca Juniors,5 - 3,Tigre,Finalizado,Liga Profesional de Argentina
"Dom., 12 de Jun.",Central Córdoba (Santiago del Estero),1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
